date,A,AA,AA.PB,AAC,AAN,AAP,AAT,AAV,AB,ABB
2016-08-17,48.309993,31.079968,34.619039,18,24.82501,157.985002,44.421255,7.11,21.950001,22.059999
2016-08-18,46.604232,31.349968,34.765981,17.6,25.184647,157.365246,44.371546,7.42,21.99,22.360001
2016-08-19,47.501999,30.809967,34.305568,17.290001,25.194637,157.974996,44.132934,7.25,22.01,22.059999
2016-08-22,47.462101,30.959967,34.276181,17.809999,25.234598,158.404827,44.381486,7.07,21.93,21.950001
2016-08-23,47.701504,31.499967,35.020675,18.76,25.244588,157.875046,44.311892,7.14,22.01,22.07
2016-08-24,46.584281,30.119969,33.903932,18.450001,25.274556,160.294049,44.202528,7.01,21.84,21.99
2016-08-25,47.142891,30.239968,33.80597,18.67,25.044788,160.114115,44.371546,7.06,21.860001,21.940001
2016-08-26,47.202743,29.999969,33.796176,18.49,24.70513,156.765502,43.944036,7.07,21.9,21.84
2016-08-29,47.501999,30.779969,34.168425,18.77,25.174658,157.605153,44.301951,7.04,22.059999,21.91
2016-08-30,47.023189,30.509968,33.943117,19.309999,24.835,156.595574,44.053399,6.87,21.98,21.76
2016-08-31,46.863586,30.239968,33.747197,19.559999,24.360001,157.315279,44.043455,6.83,21.889999,21.67
2016-09-01,46.873563,30.389968,33.678625,19.26,24.469999,158.694701,43.784962,6.85,21.59,22.07
2016-09-02,46.883537,30.389968,33.306376,20.049999,24.780001,158.504792,44.262182,6.95,22.01,22.209999
2016-09-06,46.833661,30.959967,34.05087,20.18,24.17,160.074138,44.878591,7.11,22.08,22.540001
2016-09-07,46.993265,30.629967,33.894134,19.77,24.92,161.813428,45.166912,7.05,22.030001,22.6
2016-09-08,46.903488,30.359969,33.678625,19.43,25.41,158.804656,44.371546,7.31,22.059999,22.65
2016-09-09,44.768791,28.799969,32.013305,18.719999,24.73,152.897099,42.621736,6.95,21.99,22.17
2016-09-12,45.636634,29.33997,32.267999,18.709999,25.25,153.306918,42.919998,6.92,22.09,22.389999
2016-09-13,44.788742,28.55997,31.48,18.23,24.99,151.117817,42.119999,6.66,21.93,22.24
2016-09-14,44.74884,28.169971,31.110001,18.110001,24.709999,150.658014,42.060001,6.61,22,22.07
2016-09-15,45.327401,28.40997,31.540001,17.91,25.01,148.878748,42.169998,6.73,22.73,22.25
2016-09-16,44.679014,28.31997,31.33,17.5,24.92,148.049087,42.310001,6.55,22.709999,21.950001
2016-09-19,44.838617,28.079971,31.18,17.780001,25.01,148.378953,42.610001,6.53,22.76,21.98
2016-09-20,45.596732,28.31997,31.51,17.120001,25.01,145.829999,42.650002,6.7,22.59,22.129999
2016-09-21,45.925916,29.00997,32.040001,17.09,25.09,146.330002,43.169998,6.97,22.950001,22.51
2016-09-22,46.554353,29.33997,32.374001,17.92,25.59,149.149994,44.029999,6.91,23.09,22.809999
2016-09-23,46.494504,29.27997,32.299999,17.040001,25.66,149.240005,44.209999,6.73,23.09,22.65
2016-09-26,46.454602,29.039971,32.009998,16.889999,24.99,150.100006,44.349998,6.73,22.290001,22.5
2016-09-27,46.584281,28.949971,31.530001,16.870001,25.139999,151.009995,43.91,6.67,22.26,22.49
2016-09-28,47.063091,29.639968,32.16,16.65,24.99,149,44.110001,6.98,22.25,22.700001
2016-09-29,46.294998,29.879968,32.400002,16.98,24.690001,146.740005,43.860001,6.93,22.09,22.379999
2016-09-30,47.09,30.419968,32.689999,17.389999,25.42,149.119995,43.380001,7.03,22.799999,22.51
